Episode,Wins,Losses,Win Rate
24,9,15,0.3750
47,17,6,0.7391
72,16,9,0.6400
94,11,11,0.5000
117,15,8,0.6522
140,10,13,0.4348
161,11,10,0.5238
183,12,10,0.5455
204,15,6,0.7143
227,12,11,0.5217
251,13,11,0.5417
276,20,5,0.8000
297,14,7,0.6667
321,13,11,0.5417
346,19,6,0.7600
370,17,7,0.7083
392,16,6,0.7273
421,24,5,0.8276
448,21,6,0.7778
471,18,5,0.7826
497,16,10,0.6154
521,15,9,0.6250
546,14,11,0.5600
570,16,8,0.6667
594,13,11,0.5417
619,16,9,0.6400
643,15,9,0.6250
668,12,13,0.4800
692,17,8,0.6800
720,5,22,0.1852
747,19,8,0.7037
772,10,15,0.4000
798,11,16,0.4074
826,10,17,0.3704
852,11,15,0.4231
878,13,13,0.5000
902,11,13,0.4583
931,16,13,0.5517
959,9,19,0.3214
986,16,11,0.5926
