Episode,Wins,Losses,Win Rate
44,20,24,0.4545
89,27,18,0.6000
133,31,13,0.7045
177,30,14,0.6818
220,31,12,0.7209
264,22,22,0.5000
309,29,16,0.6444
353,19,25,0.4318
397,30,14,0.6818
443,27,19,0.5870
487,26,18,0.5909
533,25,21,0.5435
580,38,9,0.8085
622,21,21,0.5000
671,29,20,0.5918
721,28,22,0.5600
768,21,26,0.4468
815,23,24,0.4894
865,20,30,0.4000
918,19,34,0.3585
970,19,33,0.3654
1026,15,41,0.2679
1079,20,33,0.3774
1136,19,38,0.3333
1187,13,38,0.2549
1238,24,27,0.4706
1291,24,29,0.4528
1344,17,37,0.3148
1401,28,28,0.5000
1455,21,33,0.3889
1510,23,32,0.4182
1568,19,39,0.3276
1624,18,38,0.3214
1674,12,38,0.2400
1728,16,38,0.2963
1781,11,42,0.2075
1837,8,48,0.1429
1889,8,44,0.1538
